playlist_id,track_id,title,artists,artist_ids,preview_url,album,cover_url,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness,key,mode,time_signature,track_popularity,release_date,cluster,mood
37i9dQZF1E36jQAgl791vy,03PtknZU5nhXUqosFYNKEf,Mathakayan obe,"Chamara Weerasinghe, Aradhana Ekanayaka","0Dnie0m84vyBv4S33KKOgy, 4u7oLWAsRHOXbfwr4FDQQq",https://p.scdn.co/mp3-preview/5dd061767f92a997ac9a89eb726c58f159e4ef75?cid=ff14a0bc7f824e879d94d30736b0a1ac,Mathakayan obe,https://i.scdn.co/image/ab67616d0000b2730b450a5d6bc7517f7b465469,0.791,0.863,0.96,125.006,0.298,3.22e-06,0.306,-11.406,0.037,10,0,4,39,2003-04-02,3,Calm
37i9dQZF1E36jQAgl791vy,4wvEqjikLbOM7TrLJSQiKN,Pem Mal,"Mohideen Baig, Latha Walpola","5zkcNzmwkI9PB0VOkXkWVi, 2sn075WC3sXXD17t57FkTn",https://p.scdn.co/mp3-preview/51825b656522449c50e7827044f2550faee50ac4?cid=ff14a0bc7f824e879d94d30736b0a1ac,Pem Mal Mala,https://i.scdn.co/image/ab67616d0000b273a277012fc93ab2e787468d70,0.495,0.581,0.664,91.598,0.555,0.0,0.602,-7.978,0.183,0,1,3,4,2014-02-21,2,Relaxed
37i9dQZF1E36jQAgl791vy,2K7kHKYCiqQ2Fg9Wr5g8cG,Pura Poya Handata,"Rohana Weerasinghe, Sunil Edirisinghe","7xtH99LIfTdFERRQE7kT8z, 3Cux1TIhKof6hpTZAcAdHv",https://p.scdn.co/mp3-preview/78f7e64075ea757b57118a000ff4bd2558b5eb11?cid=ff14a0bc7f824e879d94d30736b0a1ac,"Top Sinhala Songs, Vol. 42",https://i.scdn.co/image/ab67616d0000b273b37b48b452aaf7fc99fef882,0.527,0.278,0.807,140.288,0.702,0.0,0.062,-13.863,0.0417,5,0,3,0,2020-08-21,9,Sad
37i9dQZF1E36jQAgl791vy,2VHERYGLjjU5fqR0SFTUYm,Ahasin Eha,"Udara Samaraweera, Uresha Ravihari, Kasun Kalhara","5bJVhEZyYJ17uQ8NSgbkcM, 5T4mymgJStVIyosEmFreK1, 33Y7dADrRWpD5ZVrVm8tw9",https://p.scdn.co/mp3-preview/4e609345445808bb5b8ae91554309fab9696ce97?cid=ff14a0bc7f824e879d94d30736b0a1ac,Adaraneeya Kathawak,https://i.scdn.co/image/ab67616d0000b273da1fa77942e7b6d432b72e81,0.604,0.494,0.314,93.956,0.507,0.000126,0.168,-8.101,0.033,6,1,4,42,2016,4,Neutral
37i9dQZF1E36jQAgl791vy,656jjvRI6vvIeTojaEIXOp,Kavi Seepada,Chandana Liyanaarachchi,7zjVTNpa6yndlQ5ejYOGbm,https://p.scdn.co/mp3-preview/156b3d94d2bcd584fc1776fac189f8f108200001?cid=ff14a0bc7f824e879d94d30736b0a1ac,Kavi Seepada,https://i.scdn.co/image/ab67616d0000b273b0f73192de7998a72ea6b375,0.716,0.491,0.935,133.721,0.307,0.000224,0.0779,-12.69,0.0358,7,1,3,15,2000-12-01,3,Calm
37i9dQZF1E36jQAgl791vy,7bUMm4Ay3hytA5qhKh90hM,Oba Themei Kiya,Edward Jayakody,5vEOJqGp3u64wA0HA3a7nc,https://p.scdn.co/mp3-preview/e92d859429d37900b79ad8ff84c8408904319915?cid=ff14a0bc7f824e879d94d30736b0a1ac,Dedunu Palama,https://i.scdn.co/image/ab67616d0000b273623508915dd8055a166f4ac7,0.664,0.345,0.72,123.0,0.48,2.82e-05,0.293,-12.1,0.0487,9,1,3,8,2010-01-01,3,Calm
37i9dQZF1E36jQAgl791vy,2B2STT6n5OaaEpcOXCU4Ly,Anagathaye,Wayo,7esuGDpmnktF4hKuTfqf0z,https://p.scdn.co/mp3-preview/e98e3454d7776e3128d6b5d920c0735934f15a23?cid=ff14a0bc7f824e879d94d30736b0a1ac,Anagathaye,https://i.scdn.co/image/ab67616d0000b273884cb11fe7a559a783cdcf6f,0.741,0.56,0.716,120.045,0.534,1.13e-06,0.135,-7.118,0.0315,7,1,4,36,2018-07-06,3,Calm
37i9dQZF1E36jQAgl791vy,0SNQl1pqrpmMNbZGjgondb,Yaayata Paayana,"Prihan,Natasha, Natasha","6zTlleRTgCMvp7tbRo9tgr, 7MBJMXAEJuzO754trRIuHu",https://p.scdn.co/mp3-preview/389b9851c3bc013f1da7105d1e8962dbcb62d88c?cid=ff14a0bc7f824e879d94d30736b0a1ac,Nimak Nathi Adarey,https://i.scdn.co/image/ab67616d0000b2739d187c7cb03eceac3d13030f,0.58,0.498,0.465,139.671,0.32,0.0,0.143,-8.112,0.0381,7,1,4,37,2014-01-16,9,Sad
37i9dQZF1E36jQAgl791vy,7i6qIqPKcxJafhHj1aMnld,Seetha Maruthe,Ruwan Hettiarachchi,5W04KJt6WI2LpfzkMVai8B,https://p.scdn.co/mp3-preview/035612e0ace1096798f22b6141b8e973771b991d?cid=ff14a0bc7f824e879d94d30736b0a1ac,Seetha Maruthe,https://i.scdn.co/image/ab67616d0000b273bf8f7dd2ace514e7cd76cc2f,0.585,0.73,0.269,143.986,0.123,0.0,0.136,-4.41,0.044,10,1,4,36,2014-07-08,9,Sad
37i9dQZF1E36jQAgl791vy,5jYUicQ74uNA8wxQJSUVHC,Oba Apple Malak Vage,"Amarasiri Peiris, Manik Jayasekara, Nirosha Virajini, Malani Bulathsinhala","0YTEYWI8m3vGDvxusBF2OQ, 1MR55ESy1GiBPtJ8clcmio, 6wHi07ZWI3mgwehxRbd8x9, 4DwEeLkMotBXqirRdHGvWS",https://p.scdn.co/mp3-preview/bab94a1464bb85e237c3b28409d3b68007a505fe?cid=ff14a0bc7f824e879d94d30736b0a1ac,Snehaye Nagarayai,https://i.scdn.co/image/ab67616d0000b273346df5a8855376d26465faa2,0.583,0.551,0.198,156.095,0.29,1.88e-05,0.109,-10.613,0.044,0,1,4,31,2001-01-01,5,Thoughtful
